ip,protocol,slot,group,id,label,kind,access,value,value_name,unit,min,max,step,default,enum_items,max_len,alarm_priority,alarm_tag,alarm_on,alarm_off,slot_status
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/ROUTES/ROUTE 4/Enable,47447,Enable,enum,RW-,7,Off,,,,,Off,Off|On,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/ROUTES/ROUTE 4/IP Address,47448,IP Address,ipaddr,RW-,0.0.0.0,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/ROUTES/ROUTE 4/IP Mask,47449,IP Mask,ipaddr,RW-,0.0.0.0,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/ROUTES/ROUTE 4/IP Gateway,47457,IP Gateway,ipaddr,RW-,0.0.0.0,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/ROUTES/ROUTE 5/Enable,47451,Enable,enum,RW-,7,Off,,,,,Off,Off|On,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/ROUTES/ROUTE 5/IP Address,47452,IP Address,ipaddr,RW-,0.0.0.0,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/ROUTES/ROUTE 5/IP Mask,47453,IP Mask,ipaddr,RW-,0.0.0.0,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/MANAGEMENT PORT/ROUTES/ROUTE 5/IP Gateway,47458,IP Gateway,ipaddr,RW-,0.0.0.0,,,,,,,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 1/Announcement Rate,47421,Announcement Rate,enum,RW-,203,60 s,,,,,60 s,Off|1 s|3 s|10 s|30 s|60 s,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 1/Present,17568,Present,enum,R--,17,OK,,,,,NA,NA|OK,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 1/Vendor Name,17565,Vendor Name,string,R--,CISCOSOLIDOPTICS,,,,,,,,32,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 1/Vendor Part Number,17566,Vendor Part Number,string,R--,CIS-QSFP100G-DR1,,,,,,,,32,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 1/Vendor Serial Number,17567,Vendor Serial Number,string,R--,SOZ131GG0807,,,,,,,,16,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 1/Temperature,17564,Temperature,int,R--,62,,C,0,0,1,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 1/Power Rx 1,47397,Power Rx 1,float,R--,0.9900000095367432,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 1/Power Rx 2,47409,Power Rx 2,float,R--,0,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 1/Power Rx 3,47410,Power Rx 3,float,R--,0,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 1/Power Rx 4,47411,Power Rx 4,float,R--,0,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 1/Power Tx 1,47403,Power Tx 1,float,R--,1.6929999589920044,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 1/Power Tx 2,47412,Power Tx 2,float,R--,0,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 1/Power Tx 3,47413,Power Tx 3,float,R--,0,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 1/Power Tx 4,47414,Power Tx 4,float,R--,0,,mW,0,6.553500175476074,,0,,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 2/Announcement Rate,47422,Announcement Rate,enum,RW-,203,60 s,,,,,60 s,Off|1 s|3 s|10 s|30 s|60 s,,,,,,
10.41.40.195,acp2,0,ROOT_NODE_V2/QSFP 2/Present,19754,Present,enum,R--,17,OK,,,,,NA,NA|OK,,,,,,
